Case,Kitab,Vol,Pg,Term,Reason,Mentioned?,Contrast,Lenience,Jurist For,Jurist Against,Qiyas Win,Salaf,,,,,,,,
444,59,11,399,i,,,e,n,,,,,,,,,,,,
445,59,11,416,i,z,e,e,n,,,,,,,,,,,,
446,59,11,440,i,k,i,e,n,,,,,,,,,,,,
447,59,11,440,i,,,e,,,,,,,,,,,,,
448,59,11,453,i,[,e,e,n,,,,,,,,,,,,
449,59,11,454,b,[,i,e,n,,,y,,,,,,,,,
450,59,11,471,i,ي,i,e,l,,,,,,,,,,,,
451,59,11,489,i,ح,i,e,l,,,,,,,,,,,,
452,59,11,497,v,y,i,e,l,,,,,,,,,,,,
453,59,11,497,v,,,e,s,,,,,,,,,,,,
454,59,11,500,i,ج,i,i,l,,,,,,,,,,,,
455,60,11,523,i,h!م ,e,i,s,,,,s,,,,,,,,
456,60,11,541,b,$,e,e,n,,,y,,,,,,,,,
457,60,11,550,i,z@,e,i,l,,,,,,,,,,,,
458,64,12,122,b,s,i,e,n,hy,m,,,,,,,,,,
459,64,12,129,i,^,i,e,s,,,,,,,,,,,,
460,64,12,138,i,m,n,i,n,hy,m,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,
