Case,Kitab,Vol,Pg,Term,Reason,Mentioned?,Contrast,Lenience,Jurist For,Jurist Against,Qiyas Win,Salaf,,,,,,,,
101,15,3,515,i,f,i,i,n,hym,,,,,,,,,,,
102,15,3,515,i,kf,e,e,n,,,,,,,,,,,,
103,15,3,517,i,f,i,e,n,,,,,,,,,,,,
104,15,3,521,i,f,i,e,n,,,,,,,,,,,,
105,15,3,524,i,f,i,e,n,hym,,,,,,,,,,,
106,15,3,526,i,c,e,i,l,ym,h,,,,,,,,,,
107,15,3,541,j,f,i,i,n,hym,,,,,,,,,,,
108,15,3,542,c,f,i,i,n,,,,,,,,,,,,
109,15,3,578,i,ذ,i,e,l,h,ym,,,,,,,,,,
110,15,4,25,i,د,p,i,l,ym,h,,,,,,,,,,
111,15,4,34,i,ذ,p,i,l,,,,,,,,,,,,
112,15,4,34,i,ذ,p,e,l,,,,,,,,,,,,
113,15,4,34,i,cذ,e,e,l,,,,,,,,,,,,
114,16,4,52,k,c,i,e,l,hym,,,,,,,,,,,
115,16,4,58,b,x,i,e,n,,,,,,,,,,,,
116,16,4,66,i,m,i,e,n,hym,,,,,,,,,,,
117,16,4,74,i,n,i,e,l,,,,,,,,,,,,
118,16,4,75,i,m,n,e,n,,,,,,,,,,,,
119,16,4,80,i,ب,i,i,l,,,,,,,,,,,,
120,17,4,122,i,ح,p,i,l,m,hy,,,,,,,,,,
121,17,4,125,i,cx,e,e,n,,,,,,,,,,,,
122,17,4,127,i,x,e,e,l,,,,,,,,,,,,
123,17,4,128,i,x,e,e,l,,,,,,,,,,,,
124,17,4,148,v,q@,e,i,l,ym,,,,,,,,,,,
125,17,4,154,i,c,e,n,n,,,,,,,,,,,,
126,17,4,162,i,قvض,p,i,l,,,,,,,,,,,,
127,17,4,189,v,f,p,i,n,,,,,,,,,,,,
128,17,4,204,k,cx,e,e,n,,,,,,,,,,,,
129,17,4,271,i,u,i,i,l,,,,,,,,,,,,
130,17,4,290,i,د,e,e,n,,,,,,,,,,,,
131,17,4,326,ر,ح,e,e,n,ym,,,,,,,,,,,
132,17,4,327,k,ح,e,e,n,,,,,,,,,,,,
133,17,4,329,k,k,e,e,n,,,,,,,,,,,,
134,18,4,369,i,p,p,i,s,m,hy,,,,,,,,,,
135,18,4,383,c,د,i,i,n,,,,,,,,,,,,
136,19,4,402,i,ا,e,e,n,,,,,,,,,,,,
137,19,4,402,i,p,e,e,s,,,,,,,,,,,,
138,19,4,422,k,a,i,e,n,,,,,,,,,,,,
139,19,4,478,bw,kت,p,e,n,,,,,,,,,,,,
140,19,4,481,b,kتq,p,e,n,,,y,,,,,,,,,
141,19,4,488,a,x,i,e,n,,,,,,,,,,,,
142,19,4,517,a,nc,e,e,l,,,,,,,,,,,,
143,19,4,517,k,p,i,e,s,,,,,,,,,,,,
144,19,4,537,v,م ,i,i,n,,,,,,,,,,,,
145,19,4,551,w,x,i,e,n,,,,,,,,,,,,
146,19,4,574,aw,ت,p,e,n,,,,,,,,,,,,
147,19,4,592,w,x,p,e,s,,,,,,,,,,,,
148,19,4,592,k,x,i,e,n,,,,,,,,,,,,
149,19,5,18,a,t,i,e,l,,,,,,,,,,,,
150,19,5,20,a,y,i,e,l,,,,,,,,,,,,
151,19,5,34,i,xر,i,e,l,hy,mz,,,,,,,,,,
152,19,5,50,aw,x,e,e,n,,,,,,,,,,,,
153,19,5,51,p,l,e,n,n,h,ym,,,,,,,,,,
154,19,5,59,i,r,e,e,l,,,,,,,,,,,,
155,20,5,78,w,رx,e,i,n,,,,,,,,,,,,
156,20,5,90,v,sد,p,i,s,h,ym,,,,,,,,,,
157,20,5,123,i,m,n,e,l,h,ym,,,,,,,,,,
158,20,5,150,k,ن,i,e,l,,,,,,,,,,,,
159,20,5,154,i,sf,p,i,l,h,,,,,,,,,,,
160,20,5,176,i,ن,p,e,l,,,,,,,,,,,,
161,20,5,187,v,s,p,i,n,hym,,,,,,,,,,,
162,20,5,188,i,s,p,i,n,,,,,,,,,,,,
163,20,5,190,i,ks,p,i,n,,,,,,,,,,,,
164,21,5,208,i,mh,p,e,l,h,,,h,,,,,,,,
165,21,5,210,i,k,i,e,l,,,,,,,,,,,,
166,21,5,212,i,kq,e,e,l,,,,,,,,,,,,
167,21,5,219,b,q,e,e,l,h,ym,,,,,,,,,,
168,21,5,229,v,د,e,i,l,,,,,,,,,,,,
169,21,5,234,av,m,n,e,n,,,,,,,,,,,,
170,21,5,237,e,ز,e,e,l,,,,,,,,,,,,
171,21,5,237,i,ز,i,e,l,,,,,,,,,,,,
172,22,5,244,i,ik,e,i,s,,,,,,,,,,,,
173,24,5,364,v,a,e,i,l,,,,,,,,,,,,
174,24,5,405,k,k,i,i,l,,,,,,,,,,,,
175,24,5,407,ik,u,i,e,l,,,,,,,,,,,,
176,24,5,408,i,y,e,i,l,,,,,,,,,,,,
177,24,5,410,i,j,e,i,l,,,,,,,,,,,,
178,24,5,411,i,m,n,e,l,,,,,,,,,,,,
179,24,5,411,b,y,i,e,l,,,,,,,,,,,,
180,25,5,444,i,g,e,e,s,,,,,,,,,,,,
181,25,5,459,i,k,e,e,l,,,,,,,,,,,,
182,25,5,496,i,د,i,i,s,,m,,,,,,,,,,
183,25,5,509,i,k,e,e,n,,,,,,,,,,,,
184,25,5,519,i,م ,e,e,s,,,,,,,,,,,,
185,25,5,528,i,u,p,e,l,,,,,,,,,,,,
186,25,5,532,i,l,i,e,n,ym,h,,,,,,,,,,
187,25,5,543,i,xذ,p,e,l,,,,,,,,,,,,
188,28,6,200,i,qkذ,p,i,l,,,,,,,,,,,,
189,28,6,201,b,ذ,p,i,l,,,,,,,,,,,,
190,28,6,205,bw,syf,i,e,l,,,,,,,,,,,,
191,28,6,205,i,f,i,e,l,,,,,,,,,,,,
192,28,6,206,i,xcذ,p,i,l,,,,,,,,,,,,
193,28,6,210,b,k,e,e,l,,,,,,,,,,,,
194,28,6,211,b,f,i,e,l,,,,,,,,,,,,
195,28,6,211,v,f,i,e,n,,,,,,,,,,,,
196,28,6,212,k,m,n,e,s,,,,,,,,,,,,
197,28,6,218,e,k,e,i,l,,,,,,,,,,,,
198,28,6,221,v,ش,e,i,n,,,,,,,,,,,,
199,28,6,222,v,ن,i,i,n,,,,,,,,,,,,
200,28,6,223,v,k,e,e,n,,,,,,,,,,,,
201,28,6,223,e,ص,e,i,l,,,,,,,,,,,,
202,28,6,237,a,fs,i,i,l,,,,,,,,,,,,
203,28,6,248,k,k,e,e,n,,,,,,,,,,,,
204,28,6,255,a,ض,e,i,l,,,,,,,,,,,,
205,28,6,259,k,s,e,e,s,,,,,,,,,,,,
206,28,6,260,k,s,i,e,s,,,,,,,,,,,,
207,28,6,260,b,s,i,e,s,,,,,,,,,,,,
208,28,6,263,a,ج,p,e,s,,,,,,,,,,,,
209,28,6,264,b,k,e,e,l,,,y,,,,,,,,,
210,28,6,277,v,fk,p,i,l,,,,,,,,,,,,
211,28,6,278,a,fs,p,i,l,,,,,,,,,,,,
212,28,6,279,a,k,e,i,s,,,,,,,,,,,,
213,28,6,279,a,f,i,e,l,,,,,,,,,,,,
214,28,6,280,w,k,e,e,n,,,,,,,,,,,,
215,28,6,282,v,u,i,e,l,,,,,,,,,,,,
216,28,6,298,a,ik,e,e,s,y,hm,,,,,,,,,,
217,28,6,308,ad,ks,e,e,l,,,,,,,,,,,,
218,28,6,311,v,kض,e,i,l,,,,,,,,,,,,
219,28,6,314,bv,ط,e,e,n,,,,,,,,,,,,
220,28,6,327,a,m,n,i,l,h,ym,,,,,,,,,,
221,28,6,330,k,k,e,e,l,,,,,,,,,,,,
222,28,6,335,a,ض,e,e,l,,m,,,,,,,,,,
223,28,6,337,j,fs,i,i,l,h,,,,,,,,,,,
224,28,6,345,a,ن,i,i,n,,,,,,,,,,,,
225,29,6,404,a,ن,p,e,s,,,,,,,,,,,,
226,29,6,405,i,ن,i,e,s,,,,,,,,,,,,
227,29,6,413,i,ن,i,e,s,y,hm,,,,,,,,,,
228,29,6,417,i,ن,i,i,s,h,,,,,,,,,,,
229,32,6,559,i,h,e,e,n,,,,,,,,,,,,
230,32,6,564,v,oz,i,e,s,,,,,,,,,,,,
231,32,6,577,a,k,e,e,n,,,,,,,,,,,,
232,32,6,583,i,r,i,e,l,,,,,,,,,,,,
233,32,6,584,iw,ظk,p,e,l,,,,,,,,,,,,
234,32,6,587,i,ظ,e,e,l,,,,,,,,,,,,
235,32,6,591,k,ظr,i,e,l,h,,,,,,,,,,,
236,32,7,11,v,r,p,e,l,,,,,,,,,,,,
237,32,7,26,k,h,e,e,n,,,,s,,,,,,,,
238,32,7,26,k,n,e,e,l,,,,,,,,,,,,
239,32,7,29,b,h,e,e,n,,,,,,,,,,,,
240,32,7,42,i,b,e,i,l,ym,h,,,,,,,,,,
241,32,7,155,i,kr,e,e,n,,,,,,,,,,,,
242,32,7,160,i,l,i,i,l,,,,,,,,,,,,
243,34,7,163,i,iس,i,i,n,,,,,,,,,,,,
244,34,7,165,i,b,i,i,s,y,,,,,,,,,,,
245,34,7,175,v,عr,e,e,l,,,,,,,,,,,,
246,34,7,177,i,oz,i,i,s,,,,,,,,,,,,
247,34,7,191,i,r,i,i,l,ym,,,,,,,,,,,
248,34,7,195,j,r,i,n,l,,,,,,,,,,,,
249,34,7,196,i,z@,e,i,n,,,,,,,,,,,,
250,34,7,199,i,o,e,i,l,h,ym,,,,,,,,,,
251,34,7,201,i,rx,e,e,l,ay,m,,,,,,,,,,
252,34,7,202,i,غ,e,i,l,,,,,,,,,,,,
253,34,7,216,i,و,i,e,l,,,,,,,,,,,,
254,34,7,225,i,kr,e,e,l,y,hm,,,,,,,,,,
255,35,7,234,i,o,e,i,s,,,,,,,,,,,,
256,35,7,235,i,i,e,i,l,aym,,,,,,,,,,,
257,35,7,237,ip,r,e,n,l,,,,,,,,,,,,
258,35,7,238,b,ok,i,e,s,aym,,,,,,,,,,,
259,35,7,240,i,r,e,e,l,,,,,,,,,,,,
260,35,7,248,i,k,i,i,l,y,hm,,,,,,,,,,
261,35,7,248,i,r,e,e,l,,,,,,,,,,,,
262,35,7,249,i,h,i,i,l,,,,l,,,,,,,,
263,35,7,257,i,k,e,e,l,,,,,,,,,,,,
264,35,7,264,i,iqr,e,e,l,,,,,,,,,,,,
265,35,7,269,i,l,n,n,n,h,ym,,,,,,,,,,
266,35,7,270,i,h,e,n,n,,,,,,,,,,,,
267,35,7,274,i,rق,e,i,l,,,,,,,,,,,,
268,35,7,279,i,k,e,i,n,,,,,,,,,,,,
269,35,7,282,iw,x,e,e,n,,,,,,,,,,,,
270,35,7,295,v,غh,e,i,l,,,,o,,,,,,,,
271,36,7,312,b,ي,e,i,n,,,,,,,,,,,,
272,36,7,312,b,ح,e,e,n,,,,,,,,,,,,
273,36,7,317,ak,j,i,e,l,hm,,,,,,,,,,,
274,36,7,321,k,r,e,e,l,,,,,,,,,,,,
275,36,7,322,i,r,i,i,l,y,hm,,,,,,,,,,
276,36,7,337,bd,qki,e,i,s,,,,,,,,,,,,
277,36,7,349,k,x,e,e,l,,,,,,,,,,,,
278,36,7,353,i,j,e,e,s,,,,,,,,,,,,
279,36,7,354,c,r,e,e,l,m,,,,,,,,,,,
280,36,7,358,k,j,e,e,s,,,,,,,,,,,,
281,36,7,358,b,kq,e,n,n,,,,,,,,,,,,
282,36,7,366,i,ي,p,e,n,,,,,,,,,,,,
283,36,7,370,i,jr,e,e,n,,,,,,,,,,,,
284,36,7,375,i,r,i,e,n,,,,,,,,,,,,
