Code,Person,,,
a,Ibn Abbas,,,
n,Nakhai,,,
p,Prophet,,,
q,Quran,,,
o,Omar,,,
h,Hammad,,,
s,Shurayh,,,
l,Ali,,,
3,Shaabi,,,
